Date,Timestamp,Volume,Open,High,Low,Close,EURUSD
20181207,16:15:00,4038.73999738693,1.13892,1.13977,1.13881,1.13975,EURUSD,
20181207,16:30:00,4256.09999036789,1.13973,1.14037,1.13931,1.13942,EURUSD,
20181207,16:45:00,3631.76998722553,1.13942,1.13947,1.13869,1.13898,EURUSD,
20181207,17:00:00,3553.29998505116,1.13898,1.13924,1.13836,1.13844,EURUSD,
20181207,17:15:00,3590.87998521328,1.13845,1.13884,1.13822,1.13846,EURUSD,
20181207,17:30:00,4068.31998252869,1.13847,1.13893,1.13821,1.13874,EURUSD,
20181207,17:45:00,3796.81999063492,1.13873,1.13975,1.13866,1.13944,EURUSD,
20181207,18:00:00,3482.02998948097,1.13945,1.13993,1.13919,1.13941,EURUSD,
20181207,18:15:00,3853.69998598099,1.13941,1.14044,1.13931,1.14038,EURUSD,
20181207,18:30:00,3643.94998991489,1.14038,1.14078,1.14011,1.1403,EURUSD,
20181207,18:45:00,2975.49999499321,1.1403,1.14088,1.14009,1.14072,EURUSD,
20181207,19:00:00,3099.31998980045,1.14072,1.14154,1.14059,1.14147,EURUSD,
20181207,19:15:00,3082.04998648167,1.14148,1.14173,1.14093,1.14158,EURUSD,
20181207,19:30:00,2852.66999232769,1.14161,1.14169,1.1413,1.14141,EURUSD,
20181207,19:45:00,3155.79998910427,1.14143,1.14235,1.14132,1.14226,EURUSD,
20181207,20:00:00,3312.67998278141,1.14227,1.14228,1.14106,1.14113,EURUSD,
20181207,20:15:00,2909.2699855566,1.14112,1.14141,1.14105,1.14107,EURUSD,
20181207,20:30:00,1947.47999095917,1.14107,1.14144,1.14102,1.1411,EURUSD,
20181207,20:45:00,2285.58998984098,1.1411,1.14119,1.14052,1.1411,EURUSD,
20181207,21:00:00,986.599996447563,1.1411,1.14117,1.14056,1.14089,EURUSD,
20181207,21:15:00,1460.18999171257,1.14088,1.14089,1.14048,1.14084,EURUSD,
20181207,21:30:00,1519.97999227047,1.14084,1.14093,1.14054,1.14054,EURUSD,
